id,value,attributeId
1,Titan Sa Mạc,1
2,Titan Đen,1
3,Titan Tự Nhiên,1
4,Titan Trắng,1
5,Hồng,1
6,Xanh Mòng Két,1
7,Trắng,1
8,Xanh Lưu Ly,1
9,Đen,1
10,Titan Xanh,1
11,Vàng,1
12,Xanh Dương,1
13,Xanh Lá,1
14,Xanh,1
15,Tím,1
16,Green,1
17,Xám,1
18,Xanh Dương Đậm,1
19,Xám Bạc,1
20,Xanh dương nhạt,1
21,Xanh Da Trời,1
22,Bạc,1
23,Xanh blue,1
24,Xanh Green,1
25,Màu Vàng,1
26,Blue Black,1
27,Light Green,1
28,Light Blue,1
29,Xanh đậm,1
30,Xanh Nhạt,1
31,Màu Đen,1
32,Màu Tím,1
33,Kem,1
34,Màu bạc,1
35,Xanh Lime,1
36,Đen bán dạ,1
37,Tím Oải Hương,1
38,Đen Huyền Bí,1
39,Xanh băng giá,1
40,Titan Xám,1
41,Vàng Đồng,1
42,Nâu,1
43,Tím Đam Mê,1
44,Trắng Ánh Sao,1
45,Đen Thạch Anh,1
46,Tím Ánh Sao,1
47,Màu Cam,1
48,Xanh Vàng,1
49,Xanh Đen,1
50,Xanh sông băng,1
51,Đen đại ngàn,1
52,Xanh ánh kim,1
53,Đen Kim Sa,1
54,256GB,2
55,128GB,2
56,512GB,2
57,1TB,2
58,12GB/512GB,2
59,,2
60,12GB/1TB,2
61,12GB/256GB,2
62,8GB/512GB,2
63,8GB/128GB,2
64,8GB/256GB,2
65,A05S,2
66,16GB/512GB,2
67,Note 14,2
68,Note 14 Pro+ 5G,2
69,4GB/128GB,2
70,12GB/512GB (14T),2
71,12GB/512GB (14T Pro),2
72,Note 13,2
73,Note 13 Pro+ 5G,2
74,Note 12 (4/128),2
75,Note 12 Pro 5G,2
76,Note 11 Pro 5G,2
77,OPPO Reno13 F 5G,2
78,OPPO Reno13 F,2
79,Reno12,2
80,6GB/128GB,2
81,Reno12 F,2
82,Vivo V25,2
83,4GB/64GB,2
84,Vivo V25e,2
85,3GB/32GB,2
